Date,SP500,RSL,DJIA,NDQ
1996-04-16,5620.02001953125,645.0,625.9400024414062,335.57000732421875
1996-04-17,5549.93017578125,641.6099853515625,620.7100219726562,334.8500061035156
1996-04-18,5551.740234375,643.6099853515625,633.4400024414062,337.4599914550781
1996-04-19,5535.47998046875,645.0700073242188,633.010009765625,338.510009765625
1996-04-22,5564.740234375,647.8900146484375,644.2899780273438,340.989990234375
1996-04-23,5588.58984375,651.5800170898438,654.489990234375,343.5199890136719
1996-04-24,5553.89990234375,650.1699829101562,664.010009765625,344.6400146484375
1996-04-25,5566.91015625,652.8699951171875,666.6799926757812,346.239990234375
1996-04-26,5567.990234375,653.4600219726562,666.6500244140625,347.8299865722656
1996-04-29,5573.41015625,654.1599731445312,667.0,348.2200012207031
1996-04-30,5569.080078125,654.1699829101562,666.72998046875,348.2799987792969
